id_domande;testo;id_categorie;id_immagini;risposta
1;la fermata Š consentita allo sbocco dei passi carrabili;;0;
2;Nel caso in cui la sosta Š espressamente vietata da una norma del codice stradale, l'osservanza di tale divieto non Š condizionata dalla presenza di cartelli segnaletici;;0;
3; In caso di sosta in un centro abitato, il conducente deve collocare il veicolo il pi— vicino possibile al margine destro della carreggiata, anche dove non esiste il marciapiede rialzato;;0;
4;Nel caso in cui la sosta Š espressamente vietata da una norma del codice della strada, l'osservanza di tale divieto Š comunque condizionata dalla presenza di cartelli segnaletici;;0;
5;La sosta e la fermata sono sempre vietate sugli attraversamenti pedonali;;0;
6;Su strade extraurbane principali il limite massimo di velocit… Š di 70 km/h per autovettura che traina caravan da 900 chilogrammi;;0;
7;Sulla distanza di sicurezza influisce l'efficienza del freno di servizio;;0;
8;Il cono si usa per indicare un parcheggio riservato;;0;
9;La sosta e la fermata sono vietate in corrispondenza dei segnali orizzontali di preselezione e lungo le corsie di canalizzazione;;0;
10;? consentito il sorpasso in prossimit… o in corrispondenza di passaggi a livello senza barriere se la circolazione Š regolata da semafori;;0;
11;I motocicli con cilindrata di almeno 150 cm3 possono circolare in autostrada;;0;
12;L?attraversamento pedonale Š una parte della carreggiata sulla quale Š vietata la fermata dei veicoli;;0;
13;Quando la carreggiata extraurbana Š occupata da ciclisti o pedoni, Š consigliabile suonare il clacson prima di sorpassarli;;0;
14;L?isola di traffico Š una zona destinata al parcheggio dei veicoli;;0;
15;Il marciapiede Š una parte della strada dove, di norma, Š consentita la sosta dei ciclomotori;;0;
16;Si definiscono ciclomotori tutti i veicoli a due ruote di cilindrata superiore a 50 cm3;;0;
17;La carreggiata non comprende la pista ciclabile;;0;
18;La corsia di decelerazione serve per entrare in una piazzola di sosta;;0;
19;Fanno parte della carreggiata le corsie di emergenza delle autostrade;;0;
20;I ciclomotori a due ruote non possono avere un motore termico di clindrata superiore a 50 cm3;;0;
21;I tricicli a motore sono veicoli con motore di cilindrata superiore a 50 cm3;;0;
22;I montanti interni degli autoveicoli condizionano la visibilit…;;0;
23;Le strade extraurbane principali possono essere ad un?unica carreggiata;;0;
24;L?autocaravan non Š un rimorchio ;;0;
25;Fuori dai centri abitati, su una stessa corsia possono circolare affiancati due ciclomotiri;;0;
26;Le biciclette con pedala assistita, dotate di motore elettrico ausiliario di potenza massima fino a 0,25 kw, sono definite ciclomotori;;0;
27;Il passaggio a livello Š un passo carrabile ;;0;
28;Fanno parte della carreggiata le corsie di emergenza delle autostrade;;0;
29;Su una strada ricoperta da brecciolino il conducente pu• circolare a velocit… sostenuta;;0;
30;La corsia pu• essere a doppio senso di circolazione;;0;
31;L?attraversamento pedonale Š una parte della carreggiata vietata al transito dei veicoli;;0;
32;Nelle aree pedonali possono transitare gli autoveicoli dei vigili del fuoco con luce lampeggiante blu e sirena in funzione;;0;
33;I quadricicli non leggeri, ai fini della circolazione, sono equiparati ai ciclomotori;;0;
34;Durante la circolazione, gli autocarri di massa complessiva a pieno carico inferiore o uguale a 3,5 tonnellate devono essere segnalati posteriormente con pannelli retroriflettenti gialli e rossi;;0;
35;Bisogna usare particolare prudenza nei confronti dei conducenti che hanno conseguito la patente di guida in uno stato estero;;0;
36;Sulle strade extraurbane principali Š consentito circolare alla velocit… massima di 130 km/h;;0;
37;L?isola di traffico serve per il transito dei pedoni;;0;
38;Si definisce autovettura il veicolo blindato e attrezzato per il trasporto di valori;;0;
39;Il passaggio a livello Š un cavalcavia ferroviario o tranviario;;0;
40;Con la patente di categoria A si possono guidare tutte le macchine agricole;;0;
41;Bisogna lasciare liberi gli ingressi delle abitazioni private in caso di formazione di code di veicoli;;0;
42;Il passaggio a livello Š caratterizzato dalla presenza di un attraversamento autostradale;;0;
43;Quando vi sono bambini fermi al semaforo bisogna usare prudenza, perch‚ potrebbero scendere dal marciapiede, invadendo la carreggiata, quando ancora per loro il semaforo Š disposto al rosso;;0;
44;L?autostrada non ha incroci a raso che l?attraversano;;0;
45;La corsia di accelerazione serve per uscire da una piazzola di sosta;;0;
46;Fanno parte della carreggiata le corsie di emergenza delle autostrade;;0;
47;Bisogna lasciare liberi i sottovia in caso di traffico intenso;;0;
48;Avvicinandosi ad un passaggio a livello con luci rosse accese e semibarriera ancora alzata, bisogna fermarsi in corrispondenza del terzo pannello distanziometrico;;0;
49;Il conducente che intende sorpassare ciclisti o pedoni che occupano la carreggiata deve mantenere una distanza laterale di almeno 2 metri;;0;
50;Per evitare rumori fastidiosi, occorre chiudere con forza le pertiere in modo da non doverle richiudere;;0;
51;Per diminuire l?inquinamento dell?aria provocato dai veicoli, bisogna controllare spesso la frizione e il differenziale;;0;
52;? consentito l?uso intermittente dei proiettori profondit… per segnalare al veicolo che precede, anche all?interno dei centri abitati, l?intenzione di sorpassare;;0;
53;La luce gialla lampeggiante, del tipo C in figura, indica che svoltando a destra i veicoli devono dare la precedenza alle biciclette;;1;
54;Il vigile disposto con le braccia ad angolo retto come in figura consente di svoltare a destra ai veicoli che arrivano dalla sua destra;;3;
55;Quando Š accesa la luce verde del semaforo in figura, il conducente che svolta a sinistra ha la precedenza sui veicoli che provengono di fronte;;5;
56;La luce gialla lampeggiante, del tipo B in figura, indica la presenza di un viale pedonale;;1;
57;Le luci rosse accese lampeggianti in figura obbligano ad arrestarsi all'accesso di un pontile d'imbarco di navi traghetto;;2;
58;Il segnale raffigurato indica che nelle vicinanze vi Š un'area di sosta per autoveicoli;;9;
59;Il segnale raffigurato consente la svolta a destra ;;11;
60;Il segnale raffigurato, se posto sul bordo del marciapiede, indica la fermata di uno scuolabus ;;10;
61;Il segnale raffigurato si trova all'ingresso di un'autostrada;;8;
62;Il semaforo in figura Š valido solo per i veicoli che marciano su rotaie (tram, treni);;7;
63;Quando il vigile si dispone di profilo con le braccia aperte come in figura si pu• svoltare a destra se si proviene dalla sua destra o dalla sua sinistra;;3;
64;Il vigile disposto con le braccia ad angolo retto come in figura consente di proseguire diritto ai veicoli che arrivano dalla sua sinistra;;4;
65;Il semaforo di corsie reversibili in figura indica la corsia per la sosta di emergenza ;;6;
66;Chi guida autoveicoli deve esibire, a richiesta degli agenti, il segnale mobile di pericolo (triangolo);;0;
67;Gli addetti a servizi di polizia stradale vengono riconosciuti dal segnale distintivo;;0;
68;La luce circolare gialla lampeggiante (tipo A di figura) invita a moderare la velocit…;;1;
69;La luce gialla lampeggiante, del tipo A in figura, pu• essere posta in punti pericolosi della strada;;1;
70;Le luci in figura sono integrate da un dispositivo di segnalazione Acustica;;2;
71;Il pannello integrativo raffigurato segnala che la carreggiata Š occupata da veicoli incidentati;;12;
72;Il delineatore raffigurato ha le punte delle frecce che segnalano le direzioni possibili;;13;
73;Il delineatore raffigurato Š posto all'ingresso di una galleria;;14;
74;La barriera raffigurata pu• utilizzarsi nei passaggi a livello quando le sbarre sono guaste;;15;
75;Il segnale raffigurato raccomanda l'uso delle catene o di pneumatici invernali fino a Trafoi;;16;
76;Il segnale raffigurato indica che non Š possibile viaggiare ad una velocit… pi— bassa di quella indicata;;17;
77;Il segnale raffigurato Š posto all'inizio di una strada extraurbana principale;;18;
78;Il segnale raffigurato invita a fare particolare attenzione in caso di forte vento;;19;
79;Quando Š accesa la luce verde del semaforo in figura si pu• impegnare l'incrocio, soltanto avendo la certezza di poterlo sgomberare prima dell'accensione della luce rossa;;5;
80;? consentito il sorpasso in prossimit… o in corrispondenza di passaggi a livello senza barriere se la circolazione Š regolata da semafori;;0;
81;L'elemento in figura Š posto su un tratto di strada su cui Š vietata la sosta;;20;
82;Il segnale raffigurato obbliga a svoltare subito a destra;;21;
83;Il segnale raffigurato precede il segnale DARE PRECEDENZA;;22;
84;Le strisce di guida in figura debbono essere lasciate alla sinistra del veicolo quando si svolta a sinistra ;;23;
85;La corsia di mezzo rappresentata in figura consente al conducente solo di proseguire diritto;;24;
86;Il dispositivo luminoso in figura Š costituito da luci lampeggianti alternativamente che si accendono durante la fase di apertura (sollevamento) delle semibarriere;;2;
87;Dovendo attraversare l'incrocio rappresentato in figura il veicolo E deve dare la precedenza al veicolo A;;25;
88;In una strada a senso unico di circolazione con la segnaletica indicata in figura per svoltare a sinistra bisogna rimanere nella corsia di destra;;26;
89;La striscia bianca trasversale in figura viene abbinata con il segnale di DARE PRECEDENZA;;27;
90;Il bordo del marciapiede come dipinto in figura vieta la sosta anche ai taxi;;28;
91;Le strisce di delimitazione gialle in figura individuano un'area di parcheggio riservata a persone invalide;;29;
92;Le strisce di guida in figura, di norma, si trovano dove la svolta a sinistra si effettua lasciando alla nostra destra il centro dell'incrocio;;23;
93;Il segnale raffigurato Š un segnale di precedenza;;22;
94;Il segnale raffigurato pu• essere seguito dal segnale FERMARSI E DARE PRECEDENZA;;30;
95;Il segnale raffigurato Š un preavviso di fermarsi e dare precedenza;;31;
96;Il segnale raffigurato indica la distanza dall'incrocio in cui dovremo obbligatoriamente fermarci;;31;
97;In presenza del segnale raffigurato e del semaforo a tre luci dobbiamo dare la precedenza se il semaforo Š a luce lampeggiante gialla;;32;
98;Il segnale raffigurato vieta il transito a tutti i veicoli;;33;
99;Il segnale raffigurato indica la fine di una prescrizione;;34;
100;In presenza del segnale raffigurato un autocaravan di massa a pieno carico superiore a 3,5 tonnellate non pu• sorpassare veicoli a motore;;35;
101;Il segnale raffigurato indica direzione obbligatoria a destra;;36;
102;Il segnale raffigurato segnala la presenza di un comando stazione carabinieri, con posto di blocco;;37;
103;Il segnale raffigurato obbliga a svoltare a sinistra o a destra all'incrocio;;38;
104;Il segnale raffigurato indica che Š obbligatorio passare a sinistra dell'ostacolo;;39;
105;Il segnale raffigurato indica passaggio consentito alla destra ed alla sinistra di un ostacolo;;40;
106;Il segnale raffigurato presegnala il senso unico di circolazione nella svolta a sinistra;;39;
107;"Il delineatore raffigurato Š installato ad un incrocio a forma di ""T""";;13;
108; Il delineatore raffigurato Š usato per migliorare la visibilit… delle curve;;14;
109; I delineatori raffigurati sono posti ai lati della carreggiata nelle strade a senso unico;;41;
110; Il delineatore raffigurato presegnala una corsia riservata agli autobus o taxi ;;42;
111;I delineatori raffigurati sono posti su strada a doppio senso;;43;
112; Il segnale raffigurato preavvisa un semaforo che regola il traffico in transito su ponti mobili o girevoli;;44;
113; Il delineatore raffigurato viene posto all'interno della carreggiata, in presenza di un ostacolo  Il delineatore raffigurato indica di svoltare a destra o a sinistra ;;42;
114;Il delineatore raffigurato, se di colore bianco e rosso, indica una curva provvisoria a sinistra;;45;
115; Il segnale raffigurato Š installato nel punto della deviazione consigliata per autocarri che superano 3,5 tonnellate;;46;
116; Il segnale raffigurato indica la lunghezza di un tratto stradale con curve pericolose in successione;;47;
117; Il pannello integrativo raffigurato indica un passaggio a livello con due binari;;48;
118; Il pannello integrativo raffigurato obbliga a stare distanti 100 metri dallo sgombraneve in funzione;;49;
119; Il pannello integrativo raffigurato invita a mantenere una distanza di almeno 20 metri dalle macchine sgombraneve in funzione;;49;
120; Il pannello integrativo raffigurato indica la presenza di cantieri stradali con escavatori e pale meccaniche in azione ;;50;
121;Il segnale raffigurato indica la continuazione del divieto di sorpasso;;51;
122;Il pannello integrativo raffigurato (A), posto sotto un segnale di pericolo, ne indica la fine;;52;
123;Il pannello integrativo raffigurato indica la larghezza di una strada;;53;
124;I pannelli integrativi in figura vengono posti sotto i segnali di diritto di precedenza;;54;
125;Il limite massimo di velocità dei quadricicli fuori dai centri abitati è di 70 km/h;;0;
126;La patente di categoria A2 può essere conseguita solo se si è già in possesso della patente di categoria A1;;0;
