id_immagine;nome;link
0;sfondo;../img/sfondo
1;trio_giallo;../img/trio_giallo
2;rosso_acustico;../img/rosso_acustico
3;vigile1;../img/vigile1
4;vigile1;../img/vigile1
5;semaforo;../img/semaforo
6;corsia2;../img/corsia2
7;tram_semaforo;../img/tram_semaforo
8;indicazione;../img/indicazione
9;rifornimento;../img/rifornimento
10;bimbi;../img/bimbi
11;come_svoltare;../img/come_svoltare
12;incidente;../img/incidente
13;mega_curva;../img/mega_curva
14;curva_dx;../img/curva_dx
15;la_barra_rossa;../img/la_barra_rossa
16;stelvio;../img/stelvio
17;sessa;../img/sessa
18;extra_princ;../img/extra_princ
19;ponte;../img/ponte
20;dosso;../img/dosso
21;svoltadx;../img/svoltadx
22;ics_pass_livello;../img/ics_pass_livello
23;strisceguida;../img/strisceguida
24;corsia;../img/corsia
25;prec0;../img/prec0
26;strada0;../img/strada0
27;strada1;../img/strada1
28;divieto_sosta;../img/divieto_sosta
29;persone_invalide;../img/persone_invalide
30;fine_precedenza;../img/fine_precedenza
31;precedenza1;../img/precedenza1
32;precedenza_sensi;../img/precedenza_sensi
33;divieto_transito;../img/divieto_transito
34;fine_prescrizione;../img/fine_prescrizione
35;divieto_sorpasso;../img/divieto_sorpasso
36;passaggio_destra;../img/passaggio_destra
37;alt_stazione;../img/alt_stazione
38;passaggio_dx_snx;../img/passaggio_dx_snx
39;direzione_snx;../img/direzione_snx
40;direzione_dx_snx;../img/direzione_dx_snx
41;delineatori1;../img/delineatori1
42;pass_destra_ostacolo;../img/pass_destra_ostacolo
43;delineatori;../img/delineatori
44;semaforo1;../img/semaforo1
45;curva_snx;../img/curva_snx
46;svolta_destra;../img/svolta_destra
47;pericolo_curva;../img/pericolo_curva
48;binari_manovra;../img/binari_manovra
49;sgombraneve;../img/sgombraneve
50;escavatori;../img/escavatori
51;sorpasso;../img/sorpasso
52;integrazione;../img/integrazione
53;integrazione1;../img/integrazione1
54;andamento_strada;../img/andamento_strada
55;;
56;;
57;;
58;;
59;;
60;;
61;;
62;;
63;;
64;;
65;;
66;;
67;;
68;;
69;;
70;;
71;;
72;;
73;;
74;;
75;;
76;;
77;;
78;;
79;;
80;;
81;;
82;;
83;;
84;;
85;;
86;;
87;;
88;;
89;;
90;;
91;;
92;;
93;;
94;;
95;;
96;;
97;;
98;;
99;;
100;;
101;;
